name,public_key,lat,lon
DB0KIT - Solar Repeater,8db2caf05a1e5338fa8ecffa0d74cba34210cee5045db00fa5bb5796f584b606,49.0123440,8.4130440
DB0KT,b0fe6369eee2bd82d2c161d8e566cc93358d6cf9cc0220a0ac51000356cce4ff,50.4865990,9.2748000
DB0KT-OBSERVER,58903f04d2e9a4f5153dd91f2c22db181e4a715b48ffe2b32bbbfe4e88ac981e,50.4866800,9.2747100
DB7TM Repeater Heuberg,81f4051e7573cc477f78a82f4a8fc2af4c5740e41d856ce7df291ef9f4e88535,48.1600280,8.8652830
DC6PZ Mandel Rep.,6bb77473eb10abd78a9c1c85f08dc96c8204dda4da4113ecaacf143f7cb02dcb,49.8598260,7.7677490
DC8LZ Repeater,8a083c482b35f93dbe49f1e7e8d5bd0b26a4f94009a124a9d61fb500bfe6d617,47.9776600,7.9650300
DD | Woellstadt,ddcd8299501111ebe6afdec03f5e892d2f1c63113665b68cd69861cc51141697,50.2896800,8.7726800
DE-76703_Mikeys_D5L,fc10e556ef89ca9eb1e5c0a202d4cd081ed4534fa6927841d1f3c89c7e784134,49.1459000,8.8168000
de-bw-etl DO6JSA Robrg,5eafa05af0f529f90887c7d6211bb0980f6f7e47b4512202c9d74bbf48d45d1b,48.9395250,8.4220930
de-bw-etl DO6JSA Stadt,fbc0fb1828e7915d5dbc2ef99570ff892e716c79bb3d6744e6528bacf8a1acf8,48.9483100,8.4107800
de-bw-ettlingenweier,8ae585c8d8cf0175c1a77ccf1ed376c0743abe884bda1ccf5c78c6f493e50dbd,48.9192500,8.3935200
DE-BW-KA IOSB,9a7445fec4110ccefddaff420d4dd9f7074fff6a6f54b0cc2556540f0fafc6c5,49.0154000,8.4256100
DE-BW-KA-WEST-TEST,6983faa7f8bca1ec36652dbe001e26e94c9698ad1df97a69e786ca1ec29c4da4,49.0047600,8.3715600
DE-BW-LB|Test-Repeater1,7730d3a1859f773aae28a648f84cb14e37c5610e847cca7218acdb063b6ad3ca,48.8714070,9.0820340
DE-BW-MA-Aufeldweg,50cb16a0180c1ff5ad23c05f7d3a8769e0b68a7479a461b5901987eb6f173248,49.4480960,8.4856810
DE-BW-MA-GKM,fbc492ad36866fe4f1f4af41ab60fc1120b92e2b37d50937c59de8a8ea34c5da,49.4467200,8.4948700
DE-BW-MA-Rathausstr.,5b55152f07ab0800d2d873e103c266eb517c6db35e2e3d4eb4568c9daaa78c8d,49.4551200,8.4919600
DE-BW-MA-Steubenstr.,78367566c81e486e1a6901b378d4504bbabcdc3dc7e610c432abfdc89d692d58,49.4587270,8.4792400
DE-BW-MA-THS,eb98b963e9917ab22ca1350cd958c1014ad8e10e2eddf4d66f7b9189b37d4183,49.4696500,8.4823040
DE-BW-WT-79737-AT,54cff058a45d0e05e26eac66d5a23213bf45609fe9c8cf0cc73b3b803171f0e0,47.6488420,7.9556440
DE-BY-MSP-Arnstein Süd,12cd79990e476bb53ae01d2c99f0323253f56d849ecdc173185ef3f6d04d4927,49.9516520,9.9828600
DE-BY-OA Kalvarienberg,42426335c6511d209d65b39408c7d3bdcd1bda12d54cc2db5cecf228e6d51441,47.5652000,10.2257000
DE-HE-FB Woelfersheim01,d5a0fe95e497ad212572f558937303780e6fc782805f78b442a9393042f5fcdd,50.4051100,8.8334200
DE-HE-FD Eichenried,4e2c058edc3725d541fe8ef48970db506e3422777de5b9c9a939344c18825ea5,50.3943860,9.6548020
DE-HE-FD Fliegerschule,8737a2d7c9bac7646c092bf868bf972f83d917e30f514d79be483bd7fa8ad793,50.4978920,9.9467270
DE-HE-FD Milseburg,cd14143f5d593c8ef582341780afaf8a3f23e324e4888ac69da25c856ae3ec49,50.5451020,9.8979790
DE-HE-MTK Neuenhain,b56986cff76d1e81874271b88d3c031c355cde8a673d87430c3ed7e6f80091f7,50.1500000,8.5000000
DE-HE-RTK-kdr-ft,11847cdfe6c95724bfd9b3d8e26f8fd2b253559f72dd36f809ac35b4177be4f1,50.0427580,8.0998400
DE-RP-A3MT,2fbdddeae373966317d2ab65b2f0eee15172cea7302d92e14052fa5ae9fa5566,50.4454200,7.8395200
DE-RP-KO bergpeater,b22ead80eb851c41ce9f8591533425fecaa66764dbc32fdcb82a0183bcf1c906,50.3473980,7.5450570
DE-RP-Lautersheim,f7dd2de5320eb43bc5ed28ac9886bb5237b160f16af95c924bf884aeb094954f,49.5865210,8.0991500
DE-RP-WW Hillscheid 3,999fff892a3ab1d7288419929380a31b624608584f4d07a36faa6b9e61906c44,50.4236290,7.7279930
DE-SL-MZG-BEC2-BMStr,35fa8cf521d4c850282f1130ba18ba2ec4c46948605d414555d400e05ae31c60,49.4099800,6.7643300
DE-SL-MZG-BEC3-FWH,9641ce74392ab9eea6fcfa7847cb2fa312a1e7abe717ae6198906cb82a3f5bc6,49.4497300,6.7639100
DE-SL-MZG-BECK8-Fischer,9de930de4f34d6261b9c2bbbe717769601e39bc43ef9ec929a7e73f0efba0de0,49.3984600,6.6865700
DE.BW Durbach2 Mik,4e1c89b168b3cbfd4a4c098cb973bb9037364ba89914667e2aa26a509906e53c,48.4916900,8.0396190
DE.BW.76275.Funkturm�,0db52745a33fc1a284a9dfdd2bfb37289c8e5b5ce7ed59081fe94e97b9c9aab4,48.9079580,8.4277090
DE.BW.BB BSZ Leonberg,5757a767576e939a4ca86e560755fd5124857a0cecfbd1d2a2386a880bad992d,48.8027300,9.0062400
DE.BW.BB Merklingen 2,ee884cfca5219cd13eb150ea75063b0cb3969c38e2b29474c00f0a6b20ee89dc,48.7654300,8.8439100
DE.BW.BB SIFI Mi-W,e20b83a99b9cdf64031da5c01fb36e135b22c76c7445a5842c78b2897906693c,48.7131430,8.9932560
DE.BW.BB Sifi-Nord,6dd20ba55278167832b4d6927729a3aa13e71d67e0d38732279bac535632b7df,48.7255490,9.0057520
DE.BW.BB | Boeblingen,88ee88682b69b0a257456e74f8fe179a65583f0adb28c0ca41f008c8a15be443,48.6846380,9.0358010
DE.BW.BB | Ehningen,63338ffb80fc98e81e8454084dc60d90d0b30c6d70bf07ba5fee2a9e162d9e00,48.6760140,8.9188840
DE.BW.BB | Ehningen 02,71b05eb910072ee14221b2a6f2862c84a0391d61d0621fd0567794211ccae87d,48.6621030,8.9485490
